gold_id,customer_tweet_id,customer_text,brand_reply,candidate_intent,gold_intent,review_notes
15,780611.0,@115850 @115821 it’s very bad experience had with Amazon. Booked twice washing machine in #amazondeal &amp;both time got used product. https://t.co/Fi7Hm32goU,@306379 Apologies for the experience with your recent order. Please fill up this form: https://t.co/GIJyeYqKE0. We'll investigate. ^HK,Product Problems,,
16,1346542.0,"@115850 product not yet dispatched will reach my address tomorrow? 
Its a gift !!
#amazonprime #amazonorder #waitingforproduct #Flipkart https://t.co/yOYH1K3lrH",@434008 We consider the address details to be personal information. Our page is visible to the public. 2/2 ^BV,Product Problems,,
17,2697150.0,I paid for 2 day shipping for an item and it’s taking 4 days which means it won’t be here in time for when i need it. I want all my damn money back @AmazonHelp. Fucking annoying.,@195284 I'm sorry to hear your order hasn't arrived by the date expected! We aim to ship all items so they're delivered by the date provided in your order confirmation. Has this date passed yet: https://t.co/q4LAMZ3tbE? ^BV,Payment & Charges,,
18,2383931.0,@119625 @AmazonHelp @295907 Thanks a lot for providing the support for Amazon instant video. Appreciate it,@687170 Glad we were able resolve your issue. Do keep us posted for any concerns. ^SB,Digital Services & Devices,,
19,2890482.0,@AmazonHelp Already spoken to 2 customer care representatives but your policy can't touch the seller (as per them) as they have initiated the refund.Moral: Time has no value.Dissatisfaction doesn't matter any more.,"@801358 Apologies for the delay in the delivering the order, Subir. I'll ensure to forward your comments as a feedback internally to review. ^MN",Returns & Refunds,,
20,1307676.0,@115850 for the second consecutive month I've been incorrectly charged 4 Prime membership.Reverse the charges 4 both months immediately,@425581 I'm sorry to know about the charge. Kindly contact our team here: https://t.co/vlvfJr4nN9 ^GK,Payment & Charges,,
21,2689302.0,@AmazonHelp No! Not logging into my account and follow up on this. Done it before and you guys didn't follow up. Go check your Facebook page. Ppl needs to know how you would resolve this matter.,"@756096 To clarify, we don't have access to your account or orders via Twitter and don't take personal information over social media. Following the link will allow us to look into the order, tracking and delivery itself. We'd love the opportunity to look into this for you. ^AN",Account & Login,,
22,2453243.0,"@115821 I got charged for amazon music but I didn't use it at all. I just cancelled it, can I get a refund or is it too late?","@702845 If you didn't use Amazon Music from the time you were charged to when you canceled, you'll get a full refund, David! ^FD",Delivery & Tracking,,
23,1122831.0,@AmazonHelp fuck u &amp; ur company. I am a prime member. Its been a week now since I placed my order &amp; it isnt delivered yet. I'm cancelling my (1/2),@384815 https://t.co/NC35ugtnsJ and we'll reach out to you. (2/2) ^VM,Prime Membership & Benefits,,
24,2866119.0,"@AmazonHelp Hey! So I was being charged for Prime on https://t.co/LMZE49jNVq and Amazon.ca simultaneously. Turns out I paid for multiple months on both, how do I get refunded for those months?",@796055 We'd love to help! For the Prime membership on https://t.co/nUUp5MLhYl you may reach us here: https://t.co/65ZCirZXzo. For the Prime membership on Amazon.ca you may reach us here: https://t.co/xrW55e2Usg ^JA.,Returns & Refunds,,
25,2825704.0,"@115850 @115821 been 3 days now used cash load servce and i hvnt got the cash till now in amzn pay accnt. I need to shop i cant . I have writn mails but they say to wait n wait , i want my money and compensation for the same i want my bloody cash back","@787159 I'm sorry about the trouble with the cash load service. We'd like to look into this, kindly drop in your details here: https://t.co/beaaDm0muc and we'll reach out to you with an update right away. ^EM",Payment & Charges,,
26,1706587.0,@AmazonHelp Today I have called BD cs but they want approval form Amazon then pick up the parcel..I have info I am ready to pay but not agree.plz help,"@517200 We've emailed a correspondence to you, Jitendra. Kindly check it here: https://t.co/8DAc10S7ww and revert to it if needed.^SF",Payment & Charges,,
27,1160643.0,@AmazonHelp If I buy something from AllsortsAccessoriesUK but they say Amazon handle the returns does this qualify for free returns? Thanks!,"@393061 Hi, Abbie! Please check out our Returns Policy help page here: https://t.co/PnYu5950t0 I hope this helps! ^NS",Returns & Refunds,,
28,1434091.0,@AmazonHelp A charge from AMZ showed up on a company card statement.  No one in office claimed it.  No idea what it is.  Need to know or we will dispute,"@452967 We can't see accounts with Twitter but we still want to help! W/o posting account info, what is description of the charge? ^DD",Payment & Charges,,
29,2891982.0,"@AmazonHelp Ah, that’s so unfortunate!! If I purchase an Amazon gift card, can the recipient use that for a Prime membership??","@173065 Apologies, we aren't able to use gift cards for recurring memberships such as Prime. You would have to use a valid credit/debit card. ^NC",Prime Membership & Benefits,,
30,1694342.0,@115850 @115850  you guys are fake only...very disappointing service and support...no benefit with prime membership also...,@514124 Looks like you are upset with our services and I'm sorry about it. Kindly elaborate for us to help you better. ^MP,Prime Membership & Benefits,,
31,1365443.0,"@AmazonHelp My package wasn't delivered (and wont be) because it was damaged. Why not just send me a new one, asap? Don't you want my money?","@426544 to confirm, was your item shipped by Amazon or a third-party seller? You can view that here: https://t.co/Y5jpI9gRhE ^HC (2/2)",Delivery & Tracking,,
32,2343901.0,@AmazonHelp no code. Just says my delivery is late. But USPS says it was delivered at 2pm yesterday.,@634508 Let's take a look into this in real time with you here: https://t.co/hApLpM3Ejd . ^JZ,Delivery & Tracking,,
33,938041.0,@AmazonHelp help. Just ordered a book but ordered the kindle option and paid...  How do I cancel it? I don't want the kindle copy,@342351 We're here to help! Please reach out to us by phone or chat here: https://t.co/qy3J24VGxb ^AC,Payment & Charges,,
34,2453243.0,"@115821 I got charged for amazon music but I didn't use it at all. I just cancelled it, can I get a refund or is it too late?","@702845 If you didn't use Amazon Music from the time you were charged to when you canceled, you'll get a full refund, David! ^FD",Returns & Refunds,,
35,984669.0,@115821 @117795 You guys keep saying my prime storage is over quota but I have no videos uploaded. How do I turn OFF video upload?,"@191774 Hi, sorry. Do you have devices registered to your acc? You can find info about Amazon Drive here:https://t.co/kQM4oIzqOz.^JJ",Digital Services & Devices,,
36,2590136.0,"@115830 my log in didnt like my password, I have changed it now and checked orders &amp; addresses. Is there a way of seeing log in activity?",@483335 That's odd! Have you noticed any activity on your account or received any suspicious e-mails? ^HM,Account & Login,,
37,1064826.0,"@AmazonHelp Order#406-4662964-9823557 dtd 14oct. 9 days to order, , 6 days at destination but not delivered. Prime membership. ??","@339899 Please don't provide your order details, we consider it to be personal information. Our page is visible to public.(3/3)^RI",Prime Membership & Benefits,,
38,2974798.0,"@115821 2 day shipping for Prime members but it’s gonna take 3.5 days? 

#cx broken? @115851 https://t.co/Rf5jTaq3m6","@239602 I'm sorry for the wait! Two-Day Shipping refers to the transit time once shipped, and doesn't factor order processing or packaging time. More info on our shipping and delivery dates here: https://t.co/4DIrFAsCzv ^BL",Prime Membership & Benefits,,
39,1618349.0,@115850 Purchased prime memshp#supposed to recv 250 pay balance after 30 day of watching primevideo for 10 min on oneplus#didn’t recv it.,@496190 We'd like to check this for you. Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^MO,Digital Services & Devices,,
40,475100.0,"@AmazonHelp .@AmazonHelp I have left feedback, but I want a refund for the wrong product &amp; I want the product I ordered delivered &amp; a refund for the extra postage of 14.95 I paid to have a 12 inch ruler delivered in a 4ft box #PleaseAdvise","@228064 Hey, Jez! Let's look into our options together. Please contact us here when you get a moment:  https://t.co/JzP7hlA23B. ^DY",Returns & Refunds,,
41,1328571.0,"@115821 WORST experience. Guar. delivery, mark delivered, No show for 2 days, Ask where it is, they offer to refund, but charge me shipping? https://t.co/wU2tok9Et7",@429958 I'm sorry for the poor experience! We'd like to help. Please give us a call when you have a moment: https://t.co/hApLpMlfHN ^KJ,Returns & Refunds,,
42,2028457.0,@AmazonHelp THE HARASSMENT FACED FOR A DEFECTIVE PRODUCT IS INDESCRIBABLE:,"@599860 I understand your concern, Aniruddha. Please share your details in the link provided earlier. I'll get back to you. ^HD",Product Problems,,
43,763607.0,"@AmazonHelp my account info was changed without my consent and in order to contact your support I need to log in which I can't do, any help",@302485 I'm sorry you're having account troubles! Please reach out to us here: https://t.co/jzvkhdlrK5 and we can help! ^TK,Order Management,,
44,1190307.0,"Only @115830 can fail a same day delivery because they can't press a door bell, then not update delivery info after you contact em. #sigh",@399766 Hi Paul- Sorry you're still waiting for your order; Has a new delivery estimate been provided when you spoke with us directly? ^NV,Delivery & Tracking,,
45,2025582.0,@AmazonHelp The only option is to make a note on my account which they have done several times in the past already,@599011 Our team would like to look into this. Please provide details here: https://t.co/H9XgxGOUji ^JP,Account & Login,,
46,2609927.0,"@115850 I bought a Benro Tripod T880EX got a T600EX. The Box's seal &amp; tripod bag's zip was broken. The Box has an eKart sticker on it which means it was sold from Flipkart &amp; is used but sold to me as a new. The condition of the box, bag, and tripod is pathetic. (1/2). https://t.co/mlGCZ3bMQt",@738146 We apologize for the situation. Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B. ^CB,Product Problems,,
47,576029.0,@AmazonHelp So basically I can’t cancel an order that I never requested? Why would your management team not contact me before putting the order in?,"@255535 As per previous correspondence, we can't place an order on a customer behalf.  If you do not require this order you can reject it at the door. ^JC",Order Management,,
48,1241101.0,Out of four @115821 orders scheduled for delivery today I received 1. Two entire orders still haven't even shipped. Super disappointed,"@411114 I'm sorry for the disappointing experience, Russell. Have you gotten any e-mails about the orders which haven't shipped? ^BL",Delivery & Tracking,,
49,2364683.0,A friend had #AmazonPrime charge his CC w/o being a member. He contacted them and they said it was for MY account?? Ive never used his CC.. ever. But have sent a gift to his address before. Now my prime is cancelled after being a prime member for years… what’s going on @115821,@682705 Sorry for the difficulties! Please call or chat in so we can see what options are available here:  https://t.co/hApLpMlfHN ^SG,Prime Membership & Benefits,,
50,142048.0,"@AmazonHelp hey, on another note, two of my recent purchases which i asked for a return, havent been picked up yet. it's been more than two weeks.",@148055 Apologies for the delay. Please get in touch with our support team here:https://t.co/HQhpS2qeEd so that we can fix the issue. ^MN,Returns & Refunds,,
51,328442.0,@115821 why was my mother charged £40 using your premium phone line to complain about a £2000 fraudulent activity on her account?,@194313 I'm sorry your mother was charged! We don't charge for our customer service assistance. Where did she get that number? ^AH,Account & Login,,
52,2216648.0,@AmazonHelp you want me to fill a form after 7 days 6 chats 4 phone calls 5 emails . ryt lemme do that too :) lets see how many more days it takes for you all to deliver your own product amazon echo,"@647629 I get you being upset with the delay. Please understand we can't gain access to your account details via Twitter. If you've shared your details in the link provided above, we'll check the delivery issue and reach out to you with an update.  ^KA",Digital Services & Devices,,
53,1386506.0,"@AmazonHelp I drop them off at an Amazon store yesterday, one package shows as being received and processed. The other doesn't show as being received",@126334 We'd be happy to check on the status of your return. Please contact us here: https://t.co/hApLpMlfHN ^EB,Delivery & Tracking,,
54,2817818.0,@115821 hi guys you just lost another Prime member ;) give thanks to P&amp;A Retail and your customer service which gets worse and worse everytime I call you. It was really hard to understand your representative. #amazon #prime #JeffBezos,"@785461 I'm sorry for the poor experience. We definitely don't want to let you down. Without providing any personal information, will you please tell us more about what's going on? ^KB",Prime Membership & Benefits,,
55,843521.0,@37831 received the prize but the amazon gV is  not working... I can't add it to my account https://t.co/NB4o4k07F6,@320576 I am sorry to hear this. Can I ask for you to reach out to us using the link below so we can investigate this for you: https://t.co/JzP7hlA23B.^GA,Account & Login,,
56,1692628.0,"Don't know why I bother paying for #AmazonPrime anymore. Order on Friday, ""Guaranteed for Saturday"", now looking like Tuesday! @115830 https://t.co/sHRrW9KboO",@267788 I'm very sorry for this wait. Did you receive a notification on a change in delivery date? ^DO,Payment & Charges,,
57,1597728.0,"@AmazonHelp @UPSHelp I'm a Prime member. Spend thousands a year. You do not want to lose me as a customer, @AmazonHelp",@490783 I'm sorry for the trouble! We'd like to take a closer look at this; please reach out to us here: https://t.co/hApLpMlfHN ^LJ,Prime Membership & Benefits,,
58,2394969.0,@AmazonHelp 16 days and still waiting for your pickup or replacement #worstAmazonExperienceEver,"@689506 Apologies for the delay in pickup, Vivek. Please reply to the email you've received from us and I'll get back to you. ^HD",Returns & Refunds,,
59,995405.0,"So I have the Echo Dot read off my calendar each day, and I have no idea where it’s getting event times from 🤷🏻‍♂️@AmazonHelp",@225096 That's rather odd! Are times correct when other features are being used? ^TR,Digital Services & Devices,,
60,1599260.0,"@AmazonHelp All good. Package must have been lost, so the refund has already been processed",@491120 I'm glad we were able to help! Please let us know if you need any further assistance. ^LR,Returns & Refunds,,
61,521650.0,"@115821 says if you can’t stream our video, it’s not us, it’s your ISP or your device.

ISP and Sony say nope — if you can stream Netflix and Hulu and YouTube and everything but Amazon ... it’s Amazon.

Lather, rinse, repeat.",@240437 I'm sorry you're having issues streaming Amazon Video. Are you receiving a specific error message?  ^FJ,Digital Services & Devices,,
62,332445.0,"@AmazonHelp Ordered hard drive on 16 feb,still didn't receive.Ccare is saying they hv initiated refund wht will I do with that refund now #BoycottAmazon",@195157 a correspondence from us on this. Please find it here: https://t.co/1iOixuUyNN. (2/2)^YP,Returns & Refunds,,
63,683771.0,@115850  @715 Poor Delivery Service ORDER # 403-7694464-3630724,"@147336 Sorry for any trouble with delivery. Kindly let us know more about the issue and we'll assist you. 
Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^RI",Order Management,,
64,64214.0,"@AmazonHelp Been waiting for my order for over a week now, the first time it said it was “delivered” at 11:45pm 🤔 now the replacement said attempted delivery last night when I was sat in waiting all evening...customer service are useless.","@130736 Sorry to hear that, Dan. Can I ask what the latest tracking update has been? You can check here: https://t.co/aaDyEz1VgE. ^TI",Delivery & Tracking,,
65,1889460.0,"Hey @115850 , your grotesque incompetence is amazing! Ordered a laptop on 24Sep which took 2 minutes to open Chrome. (1)","@563471 Apologies, Syed. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^NK",Order Management,,
66,619287.0,"My @115830 account clearly lists my “safe place” to leave goods. Why therefore have you ignored that, and delivered the goods to someone living a long way down the street?","@266951 Hi, Graham! I'm sorry that your parcel wasn't delivered to your designated Safe Place as it should have. When you have a moment, reach us here so we can take feedback about this: https://t.co/JzP7hlA23B  ^SP",Account & Login,,
67,1534954.0,8:00 and still no @115821 delivery!  I’m never ordering games from you again.  You’ve let me down once again.  You say release day delivery but never follow through.  Guess it’s @120358 from now on!,@397119 I'm sorry to hear this. What's the delivery date and most recent tracking shown here: https://t.co/Y5jpI9gRhE? ^LI,Order Management,,
68,1544505.0,"@115850 can you start scam? Without delivery product says deli handy to cust. Yur employ dont have any courier record.Trackid
186111300779",@478408 I'm sorry you haven't received the package even though the tracking has been updated as delivered. This could be due 1/3 ^SH,Product Problems,,
69,1450068.0,What's a fun way to start your morning? Is it arguing with @Amazonhelp to get back the $40 dollars that was supposed to be refunded to you?,"@456482 I'm sorry you haven't received your refund! W/o posting account info, what day was the refund requested? ^DD",Returns & Refunds,,
70,2435645.0,@115850 Hey there will someone take the effort to solve my query with my last order and existing prime subscription asap I will be glad,"@698829 We've responded to your DM, request you to check. ^MA",Prime Membership & Benefits,,
71,2919858.0,"@AmazonHelp Thanks! That answered my question. 1 more question, what is the fee charged to unsubscribe?",@808149 The one time fee should appear before checking out. Let us know if you can not find the price! ^LS,Payment & Charges,,
72,2501981.0,@116935 Trying to get this working in Canada - but I keep getting this error when clicking browse. I am a prime member. https://t.co/xLD4lre4wv,@713664 Hello Jeff! That is interesting! We would like to troubleshoot with you in real time. Please contact us via phone or chat here: https://t.co/Q7Ftz6nj80 ^LS,Prime Membership & Benefits,,
73,478648.0,"@115830 Hi there, Why does my Echo Dot say delivery 9th Dec when it shows as in stock and can get it through Prime Now within 2 hours? i bought echo dot for £34.99 in black friday sales &amp; now its normal price of £49.99 and says available 8th dec but prime now shows as in stock?","@216694 Hi there, Andrew. The Echo dot is currently out of stock until the 8th December. This is displayed on the website via the following link: https://t.co/CC3aBqPaQX.

-Sami",Digital Services & Devices,,
74,2828800.0,@115850 such a pathetic service. I am abroad and so hard to reach customer service centre without active indian mobile number. My order was placed a week back and now i dont see it anywhere in my profile.. order is like deleted from database. No track. Fraud activity,"@787789 Sorry to know you're having trouble connecting with us and the order you recently placed. You can reach us via phone, chat or email using the link here: https://t.co/TdDksLo6Mf. We'll assist you. ^PS",Order Management,,
75,2306826.0,@115821 @AmazonHelp I can’t even sign on your app or on the online website . It keeps telling me my password is wrong and I know it’s not,"@669210 Sorry for the trouble, Cassy! We're here to help! Have you had the chance to view available options here?: https://t.co/CLWZt2Hafp. ^VB",Account & Login,,
76,763607.0,"@AmazonHelp my account info was changed without my consent and in order to contact your support I need to log in which I can't do, any help",@302485 I'm sorry you're having account troubles! Please reach out to us here: https://t.co/jzvkhdlrK5 and we can help! ^TK,Account & Login,,
77,1645483.0,@119959 @115821 @115828 @212203 - My Pre-order for Fracture But Whole through amazon still havent shipped =\ . No estimate date. =\,@502812 Oh man! What's the current order status here: https://t.co/Y5jpI9gRhE? Have you received any recent updates via e-mail? ^SH,Order Management,,
78,1246861.0,"@AmazonHelp Package not delivered, customer service flippant in response. Long time Prime member. Not happy. Reconsidering renewal.",@412530 That is not what we expect! Could you please give more detail on what happened? We are here to help! ^LS,Prime Membership & Benefits,,
79,1472730.0,"@AmazonHelp I've tried signing out &amp; back in, no difference, the item is not added to my wishlist,  it asks for sign in again, when im already logged in","@461837 When you sign in, are you selecting the ""keep me signed in"" check box? ^ZW",Account & Login,,
80,2316635.0,@115850 order canceled saying payment failure but money debited from the account. It's already 2 days and still no refund from the bank.,"@671689 I understand that your concern about the refund. However, as your order is canceled, I request you to please wait for 3-5 business days &amp; I'm positive that you'll receive the refund. If not you may contact your bank customer service for the same.^SF",Account & Login,,
81,2804291.0,"@AmazonHelp @115821 i try to order on certain days so i can be off from work to receive the package because my rental office wont take them anymore,amazon is really screwing up lately and it makes me want to shop elsewhere,i am really pissed",@438214 I'm sorry for the trouble with the recent delivery. Please keep us updated on the replacement. We want to ensure you receive it. ^RR,Delivery & Tracking,,
82,526095.0,I return @116618 rentals without rewinding.,@241725 📺 🍿 Oh you rebel! Don't forget to Be Kind &amp; Rewind 😋 📼 ^JP,Returns & Refunds,,
83,475100.0,"@AmazonHelp .@AmazonHelp I have left feedback, but I want a refund for the wrong product &amp; I want the product I ordered delivered &amp; a refund for the extra postage of 14.95 I paid to have a 12 inch ruler delivered in a 4ft box #PleaseAdvise","@228064 Hey, Jez! Let's look into our options together. Please contact us here when you get a moment:  https://t.co/JzP7hlA23B. ^DY",Order Management,,
84,1638620.0,@AmazonHelp Amazon carrier. My doorbell is broken so he phoned. The call location said Seattle so I assumed it was a scam call and didn't answer.,"@501075 So sorry for your experience w/ us, Karen! We would like to take a closer look into this with you here: https://t.co/Q7Ftz6nj80",Product Problems,,
85,984242.0,@AmazonHelp hi I ordered a sampoo from Amazon pantry and got a completely spilt product . What should I do?,@353329 Please return the damaged item here : https://t.co/3yqvLnyTxi for the best available options! (2/2)^HR,Product Problems,,
86,1100565.0,"@115850 @AmazonHelp I have reached out there, I have chatting with customer service and seller past 1 month, but no solution , seller and amazon service want me to return order via courier.When anyone order item why would one go to return policies",@379658 We'd like to have a closer look at your order. Please share your details here: https://t.co/beaaDm0muc and we'll contact you soon. ^MO,Returns & Refunds,,
87,1373176.0,"@116439 just got the new HDR Fire TV.  Why are all the apps blurry?  I mean, like VHS blurry... and no its not my internet.",@427424 Let's try to troubleshoot and calibrate your display: https://t.co/whfie54ngT Please let us know if this helps! ^RM,Digital Services & Devices,,
88,666789.0,@AmazonHelp No as the preorders were long filled. I just wanted to know if you were restocking it.,@278890 We're unable to provide any insight into future availability or promos. Please keep an eye on our website for any updates. ^MH,Order Management,,
89,291334.0,"@AmazonHelp I did it in the app when I saw it was damaged, asked for replacement but unsure as to when I'll get one?","@185012 Thanks for confirming, Christopher! Let's check on the status of your replacement here: https://t.co/aaDyEz1VgE ^FD",Product Problems,,
90,1406169.0,@AmazonHelp you charged me twice for something and offer no clear way for customers to contact you about issues.,"@275331 Oh sorry! Very sorry you were charged twice, Meghan. You can contact us for support here:  https://t.co/hApLpMlfHN ^JD",Payment & Charges,,
91,123395.0,"@AmazonHelp It was impossible for it to have arrived on time when it left 23 minutes before the deadline. Am I blacklisted or something? My recent experiences have been terrible, this is the 9th time I've had to engage support due to delivery issues, either late or lost outright in 3 orders.",@143569 Thanks for reaching out to us! I apologize for the delivery experiences. Were you given an update on the delivery date? Please let us know. ^MO,Delivery & Tracking,,
92,1996335.0,"@AmazonHelp Surley at this time of year and with certain products a little common sense should prevail. Now having to explain to a child that the item is for someone else and hoping he forgets by the big day, not least thinking how I peel of the label. Prime member rethinking where to shop!","@590303 Hi Ian, we'd love to get your feedback on this. Please click the link provided.  https://t.co/fxgZ6hTrFA ^KK",Prime Membership & Benefits,,
93,1445393.0,@8850 @23773 @951 @115821 @115850 @AmazonHelp but i don't remeber the email account through which i had ordered the Product !! I only have imei number !!,@455406 We'll be following up on your concern via DM. Please check. ^HD,Account & Login,,
94,1968352.0,@AmazonHelp No. The lady I talked to today basically canceled the original order and reordered and it’s not going to ship/deliver until Nov13-Dec20.,"@583218 I understand. If it's not received within that delivery estimate, please let us know. ^DC",Order Management,,
95,390760.0,@115821 ordered nespresso 50  pack of capsules. Ordered Sunday with Amazon prime thinking 2 day delivery. why is delivery Thursday? 😏,@208518 Two-Day Shipping refers to transit time once item ships Some items may be out of stock or unavailable to ship immediately. ^TR,Delivery & Tracking,,
96,533326.0,#AmazonIndia where is my ghar ki dukaan now? When i m looking for it. First deliver faulty products and tn not replacing it.,@243552 Apologies for the issue that you had faced with the delivery of the order. Has this been reported to our support team yet? You may connect with them from here https://t.co/TxK11z5H93 and they would do the needful to help. ^KK,Product Problems,,
97,354657.0,"@117795 @126452  we have a Firestick, should be able to get espn thru Prime. New format requires a sign in and then won’t work. ???","@200296 I'm sorry you're experiencing issues. To confirm, were you able to sign in to the app with your service provider? ^EA",Digital Services & Devices,,
98,428244.0,"@115821 @AmazonHelp you will short it out as soon as possible.
Courier: Amazon Transportation Services, Tracking #: 215171288250
ORDER # 404-1602495-2254700",@216856 Please don’t provide your details here as we consider them to be personal information. Our page is visible to public. ^GS,Delivery & Tracking,,
99,2149521.0,@AmazonHelp I ordered from you and amazon 100% let me down,@631755 We'd still like to assist. Can you tell us about the issue with your order? Let us know w/o account or order info still. ^SJ,Order Management,,
100,2296676.0,"@AmazonHelp Dear Sir, 
One thing I am not getting  your customer care asking me to reply from an authenticated  Email Id from which I have ordered. __email__ is the only email Id I have in my life . I sent screenshots of my account also.","@666775 I get your concern, we have received your details. We're working on it, will communicate with you very soon. Please don't provide your account details, we consider it to be personal information. Our Twitter page is visible to the public. ^MP",Account & Login,,
101,2794276.0,"@117795 hey guys, my order is missing. No sign of your messenger nor of any of the items I paid for. What’s up? It’s way past the delivery window.",@213876 That's odd! We'd like to help! Have you had the chance to reach to us through the app for more insight?  ^HM,Delivery & Tracking,,
102,382248.0,@115850 order id: 229157698995. I ordered it on 18th Oct and today is 27th Oct. I am very disappointed this time. Please deliver it ASAP.,"@206633 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD",Order Management,,
103,1307676.0,@115850 for the second consecutive month I've been incorrectly charged 4 Prime membership.Reverse the charges 4 both months immediately,@425581 I'm sorry to know about the charge. Kindly contact our team here: https://t.co/vlvfJr4nN9 ^GK,Prime Membership & Benefits,,
104,234142.0,@AmazonHelp i am a prime member. can i buy second year's prime membership subscription in advance?,"@171755 I'm sorry Yahvi, we currently do not have this option. You can renew your prime once the current one expires. ^HN",Prime Membership & Benefits,,
105,1731654.0,@AmazonHelp Still waiting to hear anything 4 days after...Just spent 25 minutes on the phone (20 minutes were spent verifying it was me) on the phone. She assured me that an account specialist would contact me within 24 hours...This is seriously shit service!,@523181 I'm sorry for the delay! I'd like to have a member of my team look into this with you here: https://t.co/F3JRuKWuvf ^ME,Account & Login,,
106,2793134.0,"Oh, @115821 @115830 I guess I'm supposed to just be OK with this, right? 

I'm not a paying prime member to reap any of the benefits! Who does that these days! 🤬🤬 https://t.co/eJ6JBmRCk1",@779481 Hello Peter! I'm sorry for any delay in getting your parcel out to you. Upon viewing here: https://t.co/zVMx0BwKRA or here: https://t.co/aaDyEz1VgE is there any reason given listed to help better understand why this happened? ^TM,Prime Membership & Benefits,,
